Title,Date,Time,Duration,Tags,Link
Consensus Opening Party: Rooftop Revelry f/ ZHU,,,,PARTIES,https://consensus-hongkong2025.coindesk.com/agenda/event/-rooftop-revelry-107
Algorhythm,,,,OFFICIAL PARTNER EVENT,https://consensus-hongkong2025.coindesk.com/agenda/event/-algorhythm-122
CoinDesk Live,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-coindesk-live-128
Welcome Remarks,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-welcome-remarks-93
Inspiration from DeepSeek Success for Web3AI,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-publicai-sponsored-session-132
Opening Keynote,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-opening-keynote-115
Bitcoin: The Basis for a New Financial System?,,,,"BLOCKCHAIN, CRYPTO / WEB3 SOFTWARE",https://consensus-hongkong2025.coindesk.com/agenda/event/-bitcoin-the-basis-for-a-new-financial-systema-14
Why Sui Will Eat The World,,,,"BUILDERS, BLOCKCHAIN, PROTOCOLS / FOUNDATIONS, SMART CONTRACTS",https://consensus-hongkong2025.coindesk.com/agenda/event/-why-sui-will-eat-the-world-46
Welcome To The Web3 Art & Culture Summit,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-welcome-remarks-84
Welcome Remarks,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-welcome-remarks-134
Meetup: Women Are Her3,,,,聚会,https://consensus-hongkong2025.coindesk.com/agenda/event/-meetup-womens-153
Views from Wall Street to Crypto,,,,"财务, CRYPTO / WEB3 SOFTWARE, INSTITUTIONAL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-investing-in-digital-assets-macro-panel-33
Zerocap Announces a 'First' Product in Australia,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-zerocap-announces-a-first-product-in-australia-189
A Blockchain Revolution: Splitting by Ultima Chain Opens New Horizons,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-ultima-chain-sponsored-session-110
EasyA Consensus Hackathon: Opening Ceremony,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-easya-consensus-hackathon-opening-ceremony-176
Fireside: BitGo,,,,"INSTITUTIONAL INVESTING, OWNERSHIP / GOVERNANCE, RETAIL INVESTING",https://consensus-hongkong2025.coindesk.com/agenda/event/-fireside-bitgo-187
CMO Fireside: Lightspark,,,,"MARKETING / ADVERTISING / PUBLIC RELATIONS, MARKETING / ADVERTISING",https://consensus-hongkong2025.coindesk.com/agenda/event/-cmo-session-how-to-build-a-crypto-business-83
Institutional: Predictions and What's Next,,,,INSTITUTIONAL INVESTING,https://consensus-hongkong2025.coindesk.com/agenda/event/-institutional-predictions-and-whats-next-34
Super dApps & Vertical Integration,,,,無標籤,https://consensus-hongkong2025.coindesk.com/agenda/event/-supra-sponsored-session-45
